log_time_ns,_full_text,_type,theta,x,y
1697563546936517957,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461699797935233,0.20997100226987134,-0.48282733089866736
1697563546941459716,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546168681729685,0.20997171274525273,-0.4828272215037066
1697563546946491085,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546171259775788,0.20997237136029462,-0.48282711870033135
1697563546951829185,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.154617015068001,0.20997297642459412,-0.48282702553733503
1697563546956500509,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546169439335209,0.20997353504778563,-0.4828269394097702
1697563546961815565,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461689988209026,0.20997405073775688,-0.48282685982192347
1697563546966539390,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461671258560014,0.20997452548891543,-0.4828267870930943
1697563546971691772,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546169511066756,0.2099749668322767,-0.4828267179613896
1697563546976618369,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461713439289113,0.20997537383368864,-0.4828266543441552
1697563546981583408,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461695456665264,0.20997574669715383,-0.48282659734450134
1697563546986515191,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461666489660297,0.20997608982163982,-0.4828265453487345
1697563546991731790,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461675010055623,0.20997640923332803,-0.48282649563852814
1697563546996828517,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546166311843384,0.20997670245180985,-0.4828264507313105
1697563547001622454,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461673908285375,0.20997697475127386,-0.48282640822326206
1697563547006441573,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461682019260073,0.20997722589582274,-0.4828263690855001
1697563547011639075,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546168031298989,0.20997745694221542,-0.4828263334176781
1697563547016538654,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461694485821123,0.20997767139526702,-0.4828262997307651
1697563547021548023,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461691250204695,0.20997786802306304,-0.482826269442061
1697563547026849126,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461702375087935,0.20997805058496816,-0.4828262407993681
1697563547031502579,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546167603598548,0.2099782161924204,-0.482826216159348
1697563547036497729,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461669800493577,0.20997837043778697,-0.4828261925355439
1697563547041986185,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461683711080823,0.20997851432261838,-0.482826169771503
1697563547046661758,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461683241439098,0.2099786460628231,-0.48282614941557195
1697563547051562336,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.154616580738298,0.2099787657000827,-0.4828261318415573
1697563547056683702,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461677915646496,0.20997887948081842,-0.48282611351445115
1697563547061686389,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461691483765572,0.2099789841107602,-0.48282609683370536
1697563547066407289,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461695029982986,0.20997907996435308,-0.48282608187955045
1697563547072062169,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546167474064357,0.20997916657581608,-0.4828260692331101
1697563547076543011,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461689358762515,0.20997924911693916,-0.48282605592964944
1697563547081679753,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.154616867001747,0.20997932402395875,-0.48282604444350435
1697563547086650393,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461680736800767,0.2099793928762257,-0.48282603401550744
1697563547091650182,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461682178812522,0.20997945696012796,-0.4828260240520064
1697563547096493337,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461677992830447,0.2099795156671329,-0.48282601512744483
1697563547101815155,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546167553204851,0.20997956995424613,-0.48282600682282767
1697563547106450466,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546166263992044,0.20997961922041034,-0.4828259996791275
1697563547111546298,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546167985781173,0.2099796669665712,-0.4828259916608096
1697563547116496175,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461692185612755,0.2099797107496297,-0.4828259844355963
1697563547121532461,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461686273020048,0.20997974979975276,-0.48282597861455606
1697563547126513858,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461668781180196,0.20997978489378236,-0.48282597383206044
1697563547131431771,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461662649023483,0.20997981806433053,-0.4828259689283737
1697563547136801711,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461670452786722,0.20997984973034833,-0.48282596374376086
1697563547141689372,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461673831281247,0.2099798786534939,-0.4828259591464164
1697563547146449174,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461671874137295,0.20997990494731825,-0.48282595515233095
1697563547151679813,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461668401248774,0.20997992908174498,-0.4828259515480527
1697563547156799156,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461699760102118,0.2099799540622179,-0.48282594652923744
1697563547161482348,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461651298893928,0.20997997105055,-0.4828259456880961
1697563547166468260,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461679316650545,0.20997999242757429,-0.4828259413496788
1697563547171603346,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461673959273534,0.2099800097094678,-0.48282593887457925
1697563547176535254,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461658188387606,0.20998002480957642,-0.48282593712066935
1697563547181526323,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461685099058162,0.20998004199352688,-0.4828259334715013
1697563547187206449,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546167645488797,0.2099800552283962,-0.4828259317433962
1697563547191616371,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461671521429005,0.20998006768057018,-0.48282592999957746
1697563547196731299,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461679115885077,0.20998008012374278,-0.48282592779544375
1697563547202152606,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546169368918519,0.20998009219955419,-0.4828259253909215
1697563547206624927,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461674562602942,0.20998010079117843,-0.48282592476720426
1697563547211516844,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461674140919252,0.20998011006986364,-0.48282592334787955
1697563547216570578,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461666725485884,0.20998011808207595,-0.48282592238216115
1697563547221836970,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546167933988086,0.20998012700067292,-0.48282592053808815
1697563547226463109,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546167131324278,0.20998013369006707,-0.4828259197994658
